order,family,Family_common,Subfamily,Tribe,Common.name,Scientific.name,Movement,X2024.IUCN.Red.List.category,if_fao,if_new_infect,if_birdlife_breeding,if_birdlife_nonbreeding,X1,X2,X3,X4,X5,X6.1,X7,X8,X9,X10,X11,X12.,if_movebank,if_birdlife_std,low_season,Flyways,Current.population.trend
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,King Penguin,Aptenodytes patagonicus,Pelagic,LC,1,n,TRUE,TRUE,1,1,1,2,0,0,0,0,2,1,1,1,1,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Emperor Penguin,Aptenodytes forsteri,Pelagic,NT,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,0,2,1,1,1,0,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Gentoo Penguin,Pygoscelis papua,Pelagic,LC,1,n,TRUE,TRUE,0,0,0,0,0,2,1,1,1,1,1,2,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Adelie Penguin,Pygoscelis adeliae,Pelagic,LC,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,2,1,1,1,1,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Chinstrap Penguin,Pygoscelis antarcticus,Pelagic,LC,1,o,TRUE,TRUE,2,0,0,2,1,1,2,0,0,0,2,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Royal Penguin,Eudyptes schlegeli,Pelagic,LC,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,0,2,1,1,1,0,0,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Macaroni Penguin,Eudyptes chrysolophus,Pelagic,VU,0,NA,TRUE,TRUE,1,2,2,0,0,0,0,0,2,2,2,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Northern Rockhopper Penguin,Eudyptes moseleyi,Pelagic,EN,0,NA,TRUE,TRUE,1,1,1,1,2,0,0,0,2,1,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Southern Rockhopper Penguin,Eudyptes chrysocome,Pelagic,VU,1,n,TRUE,TRUE,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Erect-crested Penguin,Eudyptes sclateri,Pelagic,EN,0,NA,TRUE,TRUE,1,1,1,2,0,0,0,0,2,1,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Fiordland Penguin,Eudyptes pachyrhynchus,Pelagic,NT,0,NA,TRUE,TRUE,0,0,2,1,1,1,1,1,2,0,0,0,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Snares Penguin,Eudyptes robustus,Pelagic,VU,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,0,2,1,1,1,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Yellow-eyed Penguin,Megadyptes antipodes,Pelagic,EN,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,2,1,1,1,1,0,0,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Little Penguin,Eudyptula minor,Pelagic,LC,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,2,1,1,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,African Penguin,Spheniscus demersus,Pelagic,CR,1,o,TRUE,TRUE,1,1,2,0,0,0,0,0,0,2,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Magellanic Penguin,Spheniscus magellanicus,Pelagic,LC,1,n,TRUE,TRUE,2,0,0,2,1,1,1,1,1,1,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Humboldt Penguin,Spheniscus humboldti,Pelagic,VU,1,n,TRUE,TRUE,1,1,1,1,2,0,0,0,2,1,1,1,0,1,0,,NA
SPHENISCIFORMES,Spheniscidae,Penguins,NA,NA,Galapagos Penguin,Spheniscus mendiculus,Pelagic,EN,0,NA,TRUE,TRUE,2,1,1,1,1,1,1,1,1,1,2,0,0,0,0,,NA
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,Wilson's Storm-petrel,Oceanites oceanicus,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,1,2,0,0,0,0,0,0,2,0,1,0,"Atlantic Flyway,Central and Eastern Pacific Flyway,East Indian Ocean Flyway,North Indian Ocean Flyway,Western Pacific Flyway",Stable
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,White-vented Storm-petrel,Oceanites gracilis,Pelagic,DD,0,NA,TRUE,TRUE,2,0,0,2,2,2,2,2,2,2,2,2,0,0,0,Central and Eastern Pacific Flyway,Unknown
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,Pincoya Storm-petrel,Oceanites pincoyae,Pelagic,DD,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,0,0,2,1,1,0,0,0,,NA
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,Grey-backed Storm-petrel,Garrodia nereis,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,2,0,0,0,2,1,1,1,1,0,0,0,Southern Ocean Flyway,Decreasing
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,White-faced Storm-petrel,Pelagodroma marina,Pelagic,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,"Atlantic Flyway,Central and Eastern Pacific Flyway,East Indian Ocean Flyway,North Indian Ocean Flyway,Western Pacific Flyway",Decreasing
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,White-bellied Storm-petrel,Fregetta grallaria,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,1,2,0,0,0,0,0,0,2,0,0,0,"Atlantic Flyway,Central and Eastern Pacific Flyway",Decreasing
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,Black-bellied Storm-petrel,Fregetta tropica,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,1,1,2,2,0,2,1,1,1,0,0,0,"Atlantic Flyway,Central and Eastern Pacific Flyway,East Indian Ocean Flyway,North Indian Ocean Flyway,Western Pacific Flyway",Decreasing
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,New Zealand Storm-petrel,Fregetta maoriana,Pelagic,CR,0,NA,TRUE,TRUE,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,,NA
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,New Caledonian Storm-petrel,Fregetta lineata,Pelagic,DD,0,NA,TRUE,TRUE,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,,NA
PROCELLARIIFORMES,Oceanitidae,Southern Storm-petrels,NA,NA,Polynesian Storm-petrel,Nesofregetta fuliginosa,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,Central and Eastern Pacific Flyway,Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,European Storm-petrel,Hydrobates pelagicus,Pelagic,LC,0,NA,TRUE,TRUE,0,0,2,2,1,1,1,1,1,1,2,0,1,1,0,Atlantic Flyway,Unknown
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Cape Verde Storm-petrel,Hydrobates jabejabe,Pelagic,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,Atlantic Flyway,Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Band-rumped Storm-petrel,Hydrobates castro,Pelagic,LC,0,NA,TRUE,TRUE,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Atlantic Flyway,Central and Eastern Pacific Flyway",Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Monteiro's Storm-petrel,Hydrobates monteiroi,Pelagic,VU,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Matsudaira's Storm-petrel,Hydrobates matsudairae,Pelagic,VU,0,NA,TRUE,TRUE,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,"East Indian Ocean Flyway,Western Pacific Flyway",Unknown
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Black Storm-petrel,Hydrobates melania,Pelagic,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Ashy Storm-petrel,Hydrobates homochroa,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Least Storm-petrel,Hydrobates microsoma,Pelagic,LC,0,NA,TRUE,TRUE,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,,NA
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Wedge-rumped Storm-petrel,Hydrobates tethys,Pelagic,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,Central and Eastern Pacific Flyway,Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Townsend's Storm-petrel,Hydrobates socorroensis,Pelagic,EN,0,NA,TRUE,TRUE,0,0,0,0,2,1,1,1,1,1,2,0,0,1,0,,NA
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Ainley's Storm-petrel,Hydrobates cheimomnestes,Pelagic,VU,0,NA,TRUE,TRUE,1,2,2,2,0,0,0,0,0,2,1,1,0,1,0,Central and Eastern Pacific Flyway,Stable
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Leach's Storm-petrel,Hydrobates leucorhous,Pelagic,VU,0,NA,TRUE,TRUE,0,0,0,2,2,2,1,1,1,2,2,0,0,0,0,"Atlantic Flyway,Central and Eastern Pacific Flyway",Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Swinhoe's Storm-petrel,Hydrobates monorhis,Pelagic,NT,0,NA,TRUE,TRUE,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,North Indian Ocean Flyway,Stable
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Guadalupe Storm-petrel,Hydrobates macrodactylus,Pelagic,CR (PE),0,NA,FALSE,FALSE,0,2,1,1,1,1,1,2,0,0,0,0,0,0,0,Central and Eastern Pacific Flyway,Unknown
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Tristram's Storm-petrel,Hydrobates tristrami,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,2,2,0,0,0,0,2,1,1,0,0,0,"Central and Eastern Pacific Flyway,Western Pacific Flyway",Stable
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Markham's Storm-petrel,Hydrobates markhami,Pelagic,NT,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,Central and Eastern Pacific Flyway,Decreasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Fork-tailed Storm-petrel,Hydrobates furcatus,Pelagic,LC,0,NA,TRUE,TRUE,0,2,2,2,1,1,1,1,1,2,0,0,0,0,0,Central and Eastern Pacific Flyway,Increasing
PROCELLARIIFORMES,Hydrobatidae,Northern Storm-petrels,NA,NA,Ringed Storm-petrel,Hydrobates hornbyi,Pelagic,NT,0,NA,TRUE,TRUE,1,1,1,2,2,2,2,2,2,0,2,1,0,0,0,,NA
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Northern Royal Albatross,Diomedea sanfordi,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,"Central and Eastern Pacific Flyway,Southern Ocean Flyway",Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Southern Royal Albatross,Diomedea epomophora,Pelagic,VU,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,"Central and Eastern Pacific Flyway,Southern Ocean Flyway",Stable
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Snowy Albatross,Diomedea exulans,Pelagic,VU,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,Southern Ocean Flyway,Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Antipodean Albatross,Diomedea antipodensis,Pelagic,EN,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,0,0,2,1,0,1,0,"Central and Eastern Pacific Flyway,Southern Ocean Flyway",Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Amsterdam Albatross,Diomedea amsterdamensis,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,Southern Ocean Flyway,Increasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Tristan Albatross,Diomedea dabbenena,Pelagic,CR,0,NA,TRUE,TRUE,2,2,2,0,0,0,0,0,0,0,2,2,0,1,0,"Atlantic Flyway,Southern Ocean Flyway",Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Sooty Albatross,Phoebetria fusca,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,0,2,2,2,2,2,2,0,1,0,Southern Ocean Flyway,Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Light-mantled Albatross,Phoebetria palpebrata,Pelagic,NT,0,NA,TRUE,TRUE,2,2,2,2,2,2,0,0,2,2,2,2,0,1,0,Southern Ocean Flyway,Decreasing
PROCELLARIIFORMES,Diomedeidae,Albatrosses,NA,NA,Waved Albatross,Phoebastria irrorata,Pelagic,CR,1,n,TRUE,TRUE,0,0,0,2,1,1,1,1,1,1,1,2,1,1,0,Central and Eastern Pacific Flyway,Decreasing
