Family.name,Family,Subfamily,Tribe,Common.name,Scientific.name,Movement,X2024.IUCN.Red.List.category,if_fao,if_new_infect,if_birdlife_breeding,if_birdlife_nonbreeding,X1,X2,X3,X4,X5,X6.1,X7,X8,X9,X10,X11,X12.,if_movebank,if_birdlife_std,low_season,Flyways,Current.population.trend,Family2,Order2,Avibase.ID2,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Procellariidae,"Petrels, Shearwaters",NA,NA,Peruvian Diving-petrel,Pelecanoides garnotii,Pelagic,NT,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Procellariidae,Procellariiformes,AVIBASE-770BA3E8,-41.8,-3.12,-21.87,-74.56954196,469385.96,Extant,4,2,2,0,4,30.1,15.5,6.8,7.6,31.5,134.2,67.4,66.8,50.2,39.2,219.7,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Procellariidae,"Petrels, Shearwaters",NA,NA,Magellanic Diving-petrel,Pelecanoides magellani,Pelagic,LC,0,NA,TRUE,TRUE,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,,NA,Procellariidae,Procellariiformes,AVIBASE-C849C714,-57.5,-39.59,-51.13,-68.87612128,1187555.99,Extant,5,2,3,0,4,26.3,12.3,5.8,6,26.1,125.6,60.5,63.8,48.6,41.4,134,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Procellariidae,"Petrels, Shearwaters",NA,NA,South Georgia Diving-petrel,Pelecanoides georgicus,Pelagic,LC,0,NA,TRUE,TRUE,1,2,0,0,0,0,0,0,2,1,1,1,0,1,0,,NA,Procellariidae,Procellariiformes,AVIBASE-1838EC86,-67.79,-41.21,-52.94,51.16106545,8778963.19,Extant,4,1,2,1,4,21.1,11.7,6.3,6,22.2,110.8,56.6,54.1,51.1,42.8,121,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Procellariidae,"Petrels, Shearwaters",NA,NA,Common Diving-petrel,Pelecanoides urinatrix,Pelagic,LC,0,NA,TRUE,TRUE,0,0,2,1,1,1,1,1,1,1,1,2,0,1,0,Southern Ocean Flyway,Decreasing,Procellariidae,Procellariiformes,AVIBASE-8A40716A,-63.56,-24.03,-46.17,65.55346377,21746036.6,Extant,7,4,3,0,4,28.1,13.1,6.4,7.2,23.9,121.7,56.8,62.2,47.7,39,152.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Fregatidae,Frigatebirds,,NA,Lesser Frigatebird,Fregata ariel,Pelagic,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Fregatidae,Suliformes,AVIBASE-09ED7E92,-33.44,31.84,-2.33,28.00019076,94658392.52,Extant,7,3,4,0,4,91.4,76.8,19.9,17.2,14.9,513,333,183.5,64.6,277,804.3,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial
Fregatidae,Frigatebirds,,NA,Great Frigatebird,Fregata minor,Pelagic,LC,1,n,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Fregatidae,Suliformes,AVIBASE-788EBCAB,-27.65,28.22,-1.46,-94.34439941,24816.16,Extant,4,2,2,0,4,116.8,98.2,25.6,21.8,19.6,567.8,364.5,203.2,64.2,396.5,1274.7,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial
Fregatidae,Frigatebirds,,NA,Christmas Island Frigatebird,Fregata andrewsi,Pelagic,VU,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,Fregatidae,Suliformes,AVIBASE-67200E8E,-10.47,-10.42,-10.43,105.685593,1.89,Extant,4,2,2,0,4,124.8,102.4,24.4,22.2,29.1,618.8,386.5,232.2,62.5,401.8,1473.1,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial
Fregatidae,Frigatebirds,,NA,Magnificent Frigatebird,Fregata magnificens,Pelagic,LC,1,n,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,,NA,Fregatidae,Suliformes,AVIBASE-8AA3B42E,-27.66,27.33,-14.03,-60.09969992,191468.89,Extant,5,1,1,3,4,121.9,95.9,25.8,22.5,28.9,642,413,232.2,64,439.8,1490.5,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial
Fregatidae,Frigatebirds,,NA,Ascension Frigatebird,Fregata aquila,Pelagic,VU,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Fregatidae,Suliformes,AVIBASE-00E090F8,-16.92,-1.18,-8.34,-12.96288805,2548973.33,Extant,5,2,3,0,4,97.2,85.5,24.2,19.9,24.9,568.4,363.8,207.8,63.8,385,1620,Dunning,NA,NO,NA,NA,Marine,3,3,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Abbott's Booby,Papasula abbotti,Pelagic,EN,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,Sulidae,Suliformes,AVIBASE-92A2CCFC,-13.26,-7.67,-10.73,107.1075533,677593.38,Extant,5,2,3,0,4,118.8,91.3,26.9,37.7,46.1,442.4,287,157.5,64.6,204.8,1550.7,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
