Event.ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observe_date,report_date,Species,Diagnosis.Source,Humans.Affected,Human.Deaths,Diagnosis.Status
100399,Influenza - Avian,;H5N1 HPAI;,37.26667,100.26667,Gangca Xian,China,Asia,04/05/2005,09/05/2005,"Wild,bar-headed goose,Wild,gull,Wild,gull,Wild,cormorant,Wild,ruddy shelduck,Wild,duck,",Other,NA,NA,Confirmed
103642,Influenza - Avian,;H5N1 HPAI;,37.85,27.25,Kusadasi,Turkey,Asia,10/01/2006,10/01/2006,"Domestic,chicken,Wild,pigeon,Wild,swan,Wild,cormorant,",WOAH (former OIE),NA,NA,Confirmed
106296,Influenza - Avian,;H5N1 HPAI;,54.36667,13.03306,Prohn,Germany,Europe,19/02/2006,22/02/2006,"Wild,gull,Wild,Goose,",Other,NA,NA,Confirmed
106032,Influenza - Avian,;H5N1 HPAI;,47.33306,18.93306,Szazhalombatta,Hungary,Europe,01/03/2006,01/03/2006,"Wild,gull,Wild,cormorant,",National authorities,NA,NA,Confirmed
108029,Influenza - Avian,;H5N1 HPAI;,54.56667,13.48306,Glowe,Germany,Europe,05/03/2006,05/03/2006,"Wild,gull,",International reference laboratory,NA,NA,Confirmed
106633,Influenza - Avian,;H5N1 HPAI;,47.5,9.76667,Bregenz,Austria,Europe,03/03/2006,10/03/2006,"Wild,unspecified bird,Wild,duck,Wild,gull,",National authorities,NA,NA,Confirmed
107216,Influenza - Avian,;H5N1 HPAI;,43.5125,16.25167,Trogir,Croatia,Europe,03/03/2006,15/03/2006,"Wild,gull,",WOAH (former OIE),NA,NA,Confirmed
154182,Influenza - Avian,;H5N1 HPAI;,41.55,35.9,Bafra,Turkey,Asia,11/02/2006,16/03/2006,"Wild,gull,",National authorities,NA,NA,Confirmed
154184,Influenza - Avian,;H5N1 HPAI;,41.55,35.9,Bafra,Turkey,Asia,16/02/2006,16/03/2006,"Wild,cormorant,",National authorities,NA,NA,Confirmed
107934,Influenza - Avian,;H5N1 HPAI;,56.04972,14.68306,Listerlandet,Sweden,Europe,27/03/2006,27/03/2006,"Wild,unspecified bird,Wild,unspecified bird,Wild,gull,Wild,unspecified bird,Wild,mink,",National authorities,NA,NA,Confirmed
108965,Influenza - Avian,;H5N1 HPAI;,56.1,14.6166667,Solvesborgs Kommun,Sweden,Europe,04/04/2006,04/04/2006,"Wild,unspecified bird,Wild,goosander,Wild,gull,Wild,mink,Wild,tufted duck,",National authorities,NA,NA,Confirmed
109479,Influenza - Avian,;H5N1 HPAI;,33.01667,96.73306,Yu-shu Hsien,China,Asia,23/04/2006,01/05/2006,"Wild,bar-headed goose,Wild,gull,Wild,ruddy shelduck,Wild,tern,Wild,grebe,Wild,egret,Wild,goosander,Wild,casmerodiu,",National authorities,NA,NA,Confirmed
110231,Influenza - Avian,;H5N1 HPAI;,34.4774096,100.2420896,Ngolog Tibetan Autonomous District,China,Asia,21/05/2006,24/05/2006,"Wild,bar-headed goose,Wild,gull,Wild,ruddy shelduck,Wild,grebe,Wild,owl,Wild,crane,Wild,cormorant,Wild,vulture,Wild,condur,",National authorities,NA,NA,Confirmed
113887,Influenza - Avian,;H5N1 HPAI;,48.81,103.53,Bulgan,Mongolia,Asia,05/06/2006,05/06/2006,"Wild,swan,Wild,Goose,Wild,gull,Wild,unspecified bird,",International reference laboratory,NA,NA,Confirmed
128444,Influenza - Avian,;H5N1 HPAI;,44.6,33.5333333,Sevastopol,Ukraine,Europe,11/02/2008,13/02/2008,"Wild,coot,Wild,gull,",WOAH (former OIE),NA,NA,Confirmed
128445,Influenza - Avian,;H5N1 HPAI;,44.6,33.5333333,Sevastopol,Ukraine,Europe,11/02/2008,13/02/2008,"Wild,coot,Wild,cormorant,",WOAH (former OIE),NA,NA,Confirmed
127599,Influenza - Avian,;H5N1 HPAI;,47.15,8.1166667,Oberkirch,Switzerland,Europe,22/02/2008,28/03/2008,"Wild,mallard,Wild,duck,Wild,cormorant,Wild,duck,",WOAH (former OIE),NA,NA,Confirmed
132543,Influenza - Avian,;H5N1 HPAI;,36.2810308,100.6135479,Genggahu Lake,China,Asia,08/05/2009,17/05/2009,"Wild,bar-headed goose,Wild,great crested grebe,Wild,brown-headed gull,",Other,NA,NA,Confirmed
132590,Influenza - Avian,;H5N1 HPAI;,36.6,99.16,Gengahai Lake,China,Asia,27/05/2009,04/06/2009,"Wild,unspecified bird,Wild,bar-headed goose,Wild,great crested grebe,Wild,brown-headed gull,",WOAH (former OIE),NA,NA,Confirmed
133245,Influenza - Avian,;H5N1 HPAI;,49.0213,101.1138,Doroo nuur,Mongolia,Asia,01/08/2009,10/08/2009,"Wild,bar-headed goose,Wild,crow,Wild,duck,Wild,unspecified bird,Wild,duck,Wild,grey heron,Wild,gull,Wild,kite,Wild,swan,Wild,unspecified bird,",National authorities,NA,NA,Confirmed
158276,Influenza - Avian,;H5N1 HPAI;,22.295463,113.907882,South Perimeter Road,"Hong Kong, SAR",Asia,24/01/2011,28/01/2011,"Wild,Black-headed gull,",WOAH (former OIE),NA,NA,Confirmed
158342,Influenza - Avian,;H5N1 HPAI;,35.416541,133.397362,Akaide,Japan,Asia,19/01/2011,04/02/2011,"Wild,Black-headed gull,",WOAH (former OIE),NA,NA,Confirmed
166352,Influenza - Avian,;H5N1 HPAI;,22.442292,114.022638,7 Tai Yuk Road,"Hong Kong, SAR",Asia,13/01/2011,19/12/2011,"Wild,Black-headed gull,",WOAH (former OIE),NA,NA,Confirmed
166474,Influenza - Avian,;H5N1 HPAI;,22.287858,113.902082,Sha Lo Wan Soccer Pitch,"Hong Kong, SAR",Asia,01/01/2012,03/01/2012,"Wild,Black-headed gull,",National authorities,NA,NA,Confirmed
166473,Influenza - Avian,;H5N1 HPAI;,22.367506,113.929303,133 Lung Mun Road,"Hong Kong, SAR",Asia,30/12/2011,03/01/2012,"Wild,Black-headed gull,",National authorities,NA,NA,Confirmed
167123,Influenza - Avian,;H5N1 HPAI;,22.444412,114.02577,Chun Yin Square Playground,"Hong Kong, SAR",Asia,30/01/2012,01/02/2012,"Wild,Black-headed gull,",National authorities,NA,NA,Confirmed
168234,Influenza - Avian,;H5N1 HPAI;,22.373747,113.923196,Castle Peak Power Station Plant B,"Hong Kong, SAR",Asia,02/03/2012,06/03/2012,"Wild,Black-headed gull,",National authorities,NA,NA,Confirmed
174454,Influenza - Avian,;H5N1 HPAI;,22.382916,113.97569,"Mouse Island childrenâ€™splayground, Hoi WingRoad ","Hong Kong, SAR",Asia,25/01/2013,29/01/2013,"Wild,Black-headed gull,",WOAH (former OIE),NA,NA,Confirmed
221434,Influenza - Avian,;H5N8 HPAI;,-0.31173552,32.0024871,Kachanga village,Uganda,Africa,02/01/2017,13/01/2017,"Wild,White-winged black tern (Chlidonias leucopterus),",FAO Field Officer,NA,NA,Confirmed
219116,Influenza - Avian,;H5N8 HPAI;,47.01,6.97,Lac de NeuchÃ¢tel,Switzerland,Europe,13/11/2016,16/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
219433,Influenza - Avian,;H5N8 HPAI;,46.86,6.76,Lac de NeuchÃ¢tel,Switzerland,Europe,15/11/2016,22/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
219442,Influenza - Avian,;H5N8 HPAI;,46.86,6.76,Lac de NeuchÃ¢tel,Switzerland,Europe,17/11/2016,22/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
213414,Influenza - Avian,;H5N8 HPAI;,50.663,93.011,Ubsu-Nur,Russian Federation,Europe,09/06/2016,17/06/2016,"Wild,Grey heron,Wild,Great crested grebe,Wild,Black-headed gull,Wild,Common Tern,Wild,Great Cormorant,Wild,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed
204522,Influenza - Avian,;H5N1 HPAI;,50.6512,93.0448,"Ubsu-Nur, Ovyursky",Russian Federation,Europe,28/05/2015,11/06/2015,"Wild,Great crested grebe,Wild,Tern,",WOAH (former OIE),NA,NA,Confirmed
218714,Influenza - Avian,;H5N8 HPAI;,47.65,9.17,LAKE BODENSE,Switzerland,Europe,08/11/2016,08/11/2016,"Wild,Great crested grebe,Wild,Wild duck,Wild,Gull,Wild,Swan,",National authorities,NA,NA,Confirmed
219127,Influenza - Avian,;H5N8 HPAI;,46.8,6.72,Lac de NeuchÃ¢tel,Switzerland,Europe,13/11/2016,16/11/2016,"Wild,Tufted duck,Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
219779,Influenza - Avian,;H5N8 HPAI;,46.51,6.63,Lac LÃ©man,Switzerland,Europe,21/11/2016,29/11/2016,"Wild,Common pochard,Wild,Gull,Wild,Tufted duck,",WOAH (former OIE),NA,NA,Confirmed
219778,Influenza - Avian,;H5N8 HPAI;,46.46,6.84,Lac LÃ©man,Switzerland,Europe,19/11/2016,29/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
219422,Influenza - Avian,;H5N8 HPAI;,46.8,6.65,Lac de NeuchÃ¢tel,Switzerland,Europe,14/11/2016,22/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
218767,Influenza - Avian,;H5N8 HPAI;,46.51,6.59,Lake LÃ©man,Switzerland,Europe,10/11/2016,12/11/2016,"Wild,Gull,Wild,Tufted duck,",National authorities,NA,NA,Confirmed
219129,Influenza - Avian,;H5N8 HPAI;,46.5,6.62,Lac Leman,Switzerland,Europe,14/11/2016,16/11/2016,"Wild,Gull,Wild,Tufted duck,",WOAH (former OIE),NA,NA,Confirmed
219451,Influenza - Avian,;H5N8 HPAI;,46.88,6.88,Lac de NeuchÃ¢tel,Switzerland,Europe,17/11/2016,22/11/2016,"Wild,Herring gull,",WOAH (former OIE),NA,NA,Confirmed
220938,Influenza - Avian,;H5N8 HPAI;,47.36,8.55,ZÃ¼richsee,Switzerland,Europe,19/12/2016,21/12/2016,"Wild,Black headed gull (Chroicocephalus ridibundus),",WOAH (former OIE),NA,NA,Confirmed
219782,Influenza - Avian,;H5N8 HPAI;,47.69,8.63,Rhein (River),Switzerland,Europe,22/11/2016,29/11/2016,"Wild,Herring gull,Wild,Gull,Wild,Tufted duck,",WOAH (former OIE),NA,NA,Confirmed
222086,Influenza - Avian,;H5N8 HPAI;,47.36,8.54,ZÃ¼richsee,Switzerland,Europe,03/01/2017,11/01/2017,"Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
220910,Influenza - Avian,;H5N8 HPAI;,34.1022,49.4927,Mighan wetland,Iran  (Islamic Republic of),Asia,06/12/2016,18/12/2016,"Wild,Bean goose (Anser fabalis),Wild,Greater flamingo (Phoenicopterus roseus),Wild,Egret,Wild,Crane,Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
218791,Influenza - Avian,;H5N8 HPAI;,48.03,11.13,Starnberg,Germany,Europe,11/11/2016,11/11/2016,"Wild,Black headed gull,Wild,Common coot,Wild,Wild duck,",National authorities,NA,NA,Confirmed
218790,Influenza - Avian,;H5N8 HPAI;,47.54,9.68,Lindau,Germany,Europe,11/11/2016,11/11/2016,"Wild,Tufted duck,Wild,Swan,Wild,Gull,Wild,Heron,",National authorities,NA,NA,Confirmed
225090,Influenza - Avian,;H5N8 HPAI;,49.36,11.41,Neumarkt i.d. Oberpfalz,Germany,Europe,07/03/2017,10/03/2017,"Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
219824,Influenza - Avian,;H5N8 HPAI;,52.38,12.94,Potsdam-Mittelmark,Germany,Europe,25/11/2016,29/11/2016,"Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
223955,Influenza - Avian,;H5N8 HPAI;,52.35,13.62,Dahme-Spreewald,Germany,Europe,15/02/2017,20/02/2017,"Wild,Wild duck,Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
224460,Influenza - Avian,;H5N8 HPAI;,45.221902,19.60928,"Begecka jama park prirode, Begec",Serbia,Europe,08/02/2017,01/03/2017,"Wild,Mallard,Wild,Grey heron,Wild,Great Cormorant (Phalacrocorax carbo),",WOAH (former OIE),NA,NA,Confirmed
219668,Influenza - Avian,;H5N8 HPAI;,53.51,12.3,Mecklenburgische Seenplatte,Germany,Europe,14/11/2016,25/11/2016,"Wild,Great Cormorant,Wild,Unspecified bird,",WOAH (former OIE),NA,NA,Confirmed
219822,Influenza - Avian,;H5N8 HPAI;,53.73,14.02,UeckermÃ¼nde,Germany,Europe,22/11/2016,29/11/2016,"Wild,Wild duck,Wild,Stork,Wild,Spotted dove,Wild,Emu,Wild,Pheasant,Wild,Greater flamingo,Wild,Owl,Wild,Unspecified bird,Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed
