Event.ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation.date,report.date,Species,Diagnosis.Source,Humans.Affected,Human.Deaths,Diagnosis.Status,Scientific_Names
394418,Influenza - Avian,;H5N1 HPAI;,53.40953,6.19881,146531DE MARNE,Netherlands (Kingdom of the),Europe,2024-12-22T00:00:00Z,2025-01-03T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
394081,Influenza - Avian,;H5N1 HPAI;,53.40953,6.19881,146531DE MARNE,Netherlands (Kingdom of the),Europe,2024-12-22T00:00:00Z,2025-01-03T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
397192,Influenza - Avian,;H5N1 HPAI;,52.992826,4.731934,147777 TEXEL,Netherlands (Kingdom of the),Europe,2024-12-23T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Northern fulmar (Fulmarus glacialis),",WOAH (former OIE),NA,NA,Confirmed,Fulmarus glacialis
396766,Influenza - Avian,;H5N1 HPAI;,53.405366,6.212048,147475DE MARNE,Netherlands (Kingdom of the),Europe,2024-12-26T00:00:00Z,2025-01-20T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
398225,Influenza - Avian,;H5N1 HPAI;,33.431472,126.915611,"147711SANSEONGHYOJA-RO 40BEON-GIL, SEONGSAN-EUP, SEOGWIPO-SI, JEJU-DO, REPUBLIC OF KOREA",Republic of Korea,Asia,2024-12-27T00:00:00Z,2025-01-31T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
396635,Influenza - Avian,;H5N1 HPAI;,52.666667,4.833333,147304WIERINGEN,Netherlands (Kingdom of the),Europe,2024-12-29T00:00:00Z,2025-01-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
396634,Influenza - Avian,;H5N1 HPAI;,52.666667,4.833333,147306WIERINGEN,Netherlands (Kingdom of the),Europe,2024-12-30T00:00:00Z,2025-01-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403963,Influenza - Avian,;H5N1 HPAI;,43.65,-79.39,152979ONTARIO- WILDBIRDS,Canada,Americas,2025-01-01T00:00:00Z,2025-03-27T00:00:00Z,"Wild,Mallard:Anas platyrhynchos(Anatidae),Wild,Saker falcon (Falco cherrug),Wild,Rough-legged Hawk,Wild,Great blue heron,Wild,Canada Goose:Branta canadensis(Anatidae),Wild,Trumpeter swan (Cygnus buccinator),Wild,Tundra swan (Cygnus columbianus),Wild,Mute Swan:Cygnus olor(Anatidae),Wild,Great horned owl (Bubo virginianus),Wild,American crow (Corvus brachyrhynchos),Wild,Bald Eagle (Haliaeetus leucocephalus),Wild,Red-breasted merganser (Mergus serrator),Wild,Peregrin falcon:Falco peregrinus(Falconidae),Wild,Unspecified bird,Wild,Red-tailed hawk ,Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
403957,Influenza - Avian,;H5N5 HPAI;,44.66,-63.55,152965NOVA SCOTIA - WILDBIRDS - H5N5,Canada,Americas,2025-01-01T00:00:00Z,2025-03-27T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,"Larus argentatus, Larus marinus"
403956,Influenza - Avian,;H5N1 HPAI;,47.585,-52.7,152966NEWFOUNDLAND AND LABRADOR - WILDBIRDS -H5N5,Canada,Americas,2025-01-01T00:00:00Z,2025-03-27T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),Wild,Great Black-backed Gull (Larus marinus),",WOAH (former OIE),NA,NA,Confirmed,"Larus argentatus, Larus marinus"
